Incident Date,Incident Time,Flight ID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State ,,
17-Jan-15,0330,N93434,C152 (AVIONES COLOM,800,SUA,Green,No,Stuart,Florida,,
17-Jan-15,0351,AAL1585,B737 (BOEING - 737-,4000,MIA,Green,No,Miami,Florida,,
17-Jan-15,0428,CPZ5799,E170 (EMBRAER - 170,5000,LAX,Green,No,Los Angeles,California,,
17-Jan-15,0441,LN588SA,BE9L,7500,ABQ,Green,No,Albuquerque,New Mexico,,
17-Jan-15,0445,SWA908,B737,6000,SJC,Green,No,San Jose,California,,
17-Jan-15,0453,SWA3496,B737,16000,MCE,Green,No,Merced,California,,
17-Jan-15,0525,N588SA,"BE9L (BEECH - ""King",7500,ABQ,Green,No,Albuquerque,New Mexico,,
17-Jan-15,0842,AG6,B407 HELO,2500,LAS,Green,No,Las Vegas,Nevada,,
18-Jan-15,0015,AFR10,B772 (BOEING - 777-,2000,JFK,Green,No,New York,New York,,
18-Jan-15,0107,N35705,P28A (AICSA - Arche,2000,EYQ,Green,No,Houston,Texas,,
18-Jan-15,0135,PDT5121,CRJ7 (CANADAIR - Ch,5000,CLT,Green,No,Charlotte,North Carolina,,
18-Jan-15,0140,N1910A,H25B (BRITISH AEROS,5400,TUS,Green,No,Tucson,Arizona,,
18-Jan-15,0208,AAL287,A321 (AIRBUS - A-32,30000,MAF,Green,No,Midland,Texas,,
18-Jan-15,0208,ASQ4308,E45X (EMBRAER - EMB,4000,SBN,Green,No,South Bend,Indiana,,
18-Jan-15,0209,SWA4399,B737 (BOEING - 737-,15000,SLI,Green,No,Los Alamitos,California,,
18-Jan-15,0215,UAL814,A319 (AIRBUS - A-31,7000,MSY,Green,No,New Orleans,Louisiana,,
18-Jan-15,0225,SKW529T,E120 (EMBRAER - Bra,9000,LAX,Green,No,Los Angeles,California,,
18-Jan-15,0315,SWA4188,B733 (BOEING - 737-,12000,PHX,Green,No,Phoenix,Arizona,,
18-Jan-15,0320,CHP37,C206,2000,OAK,Green,No,Oakland,California,,
18-Jan-15,0335,GGN7286,B190 (BEECH - 1900),3000,SYR,Green,No,Syracuse,New York,,
18-Jan-15,0346,N1121U,Unknown (Unknown -,2500,TRL,Green,No,Terrell,Texas,,
18-Jan-15,0405,PKW659,SW4 (FAIRCHILD (1),12000,XA66,Green,No,Encinal,Texas,,
18-Jan-15,0525,N987BC,C172 (AVIONES COLOM,3500,AFW,Green,No,Fort Worth,Texas,,
18-Jan-15,2315,RATLR47,TEX2 (HAWKER BEECHC,1000,NIP,Green,No,Jacksonville,Florida,,
18-Jan-15,2357,FDX514,DC10 (BOEING - MD-1,4000,PHL,Green,No,Philadelphia,Pennsylvania,,
19-Jan-15,0001,DAL2064,MD88 (BOEING - MD-8,12000,ATL,Green,No,Atlanta,Georgia,,
19-Jan-15,0010,AEVAC14,HELO,2000,BNA,Green,No,Nashville,Tennessee,,
19-Jan-15,0033,SWA4927,B737 (BOEING - 737-,12500,BNA,Green,No,Nashville,Tennessee,,
19-Jan-15,0035,DAL386,A320 (AIRBUS - A-32,13000,ATL,Green,No,Atlanta,Georgia,,
19-Jan-15,0110,DAL1209,A319,8500,GSP,Green,No,Greenville,South Carolina,,
19-Jan-15,0140,UAL809,A319,12700,DEN,Green,No,Denver,Colorado,,
19-Jan-15,0155,SWA376,B737 (BOEING - 737-,5000,ADS,Green,No,Dallas    ,Texas,,
19-Jan-15,0235,AWE1919,A320 (AIRBUS - A-32,11000,PMP,Green,No,Pompano Beach,Florida,,
19-Jan-15,0301,SWA226,B738 (BOEING - 737-,3000,MDW,Green,No,Chicago,Illinois,,
19-Jan-15,0340,DAL1596,MD88 (BOEING - MD-8,4000,LGA,Green,No,New York,New York,,
19-Jan-15,0417,TFF106,BE30 (BEECH - 300 S,10000,IGN,Green,No,Kingston,New York,,
19-Jan-15,0440,URF304,PC12,10000,WVI,Green,No,Watsonville,California,,
19-Jan-15,0619,N46413,C172 (AVIONES COLOM,4200,DFW,Green,No,Dallas-Fort Worth,Texas,,
19-Jan-15,0640,SWA3843,B737,9000,WVI,Green,No,Watsonville,California,,
19-Jan-15,0650,AMX664,B737,12000,WVI,Green,No,Watsonville,California,,
20-Jan-15,0032,SWA4371,B737,6500,HOU,Green,No,Houston,Texas,,
20-Jan-15,0145,ASQ4308,CRJ2 (CANADAIR - Ch,4500,SBN,Green,No,South Bend,Indiana,,
20-Jan-15,0206,UAL946,B763 (BOEING - 767-,12000,DCA,Green,No,Washington,District of Columbia,,
20-Jan-15,0208,LOF5024,E145 (EMBRAER - C-9,3000,AML,Green,No,Herndon,Virginia,,
20-Jan-15,0242,ENY3580,E145 (EMBRAER - C-9,5500,MIA,Green,No,Miami,Florida,,
20-Jan-15,0244,ASQ4238,E45X (EMBRAER - EMB,17000,GPT,Green,No,Gulfport,Mississippi,,
20-Jan-15,0318,ASA763,B738 (BOEING - 737-,17500,IPL,Green,No,Imperial,California,,
20-Jan-15,0435,ASQ4699,E45X,3500,TUL,Green,No,Tulsa,Oklahoma,,
20-Jan-15,1108,UPS774,B763 (BOEING - 767-,18300,DAS,Green,No,Daisetta,Texas,,
20-Jan-15,1120,MA21,HELO,3000,LAS,Green,No,Las Vegas,Nevada,,
20-Jan-15,1120,MERCY AIR2,HELO (HELO - HELO),3500,LAS,Green,No,Las Vegas,Nevada,,
21-Jan-15,0020,AAL2487,B738,4000,MIA,Green,No,Miami,Florida,,
21-Jan-15,0041,WING2,HELO,800,MEM,Green,No,Memphis,Tennessee,,
21-Jan-15,0105,FDX719,A306 (AIRBUS - A-30,3500,BFM,Green,No,Mobile,Alabama,,
21-Jan-15,0107,SWA866,B737 (BOEING - 737-,6000,BWI,Green,No,Baltimore,Maryland,,
21-Jan-15,0132,RULER31,C17 (BOEING - C-17,2000,JAN,Green,No,Jacksonville,Mississippi,,
21-Jan-15,0143,ASQ4683,E145,3000,LFT,Green,No,Lafayette,Louisiana,,
21-Jan-15,0144,EJA305,C680 (CESSNA - 680,3000,RDU,Green,No,Raleigh-Durham,North Carolina,,
21-Jan-15,0152,UCA803,DH8B (DE HAVILLAND,5000,ROC,Green,No,Rochester,New York,,
21-Jan-15,0229,SWA2242,B738 (BOEING - 737-,2000,MHT,Green,No,Manchester,New Hampshire,,
21-Jan-15,0233,SWA4292,B737 (BOEING - 737-,3000,MCO,Green,No,Orlando,Florida,,
21-Jan-15,0248,AAL51,MD83 (BOEING - MD-8,6400,SLC,Green,No,Salt Lake City,Utah,,
21-Jan-15,0307,C1702,C130,3000,MCC,Green,No,Sacramento,California,,
21-Jan-15,0328,AMF202,PA28 (Piper - Chero,1800,SAC,Green,No,Sacramento,California,,
21-Jan-15,0347,UAL1560,B737,1000,LGA,Green,No,New York,New York,,
21-Jan-15,0400,ENY2975,E145,10000,HSV,Green,No,Huntsville,Alabama,,
21-Jan-15,0443,FDX1212,B763 (BOEING - 767-,17000,SZY,Green,No,Selmer,Tennessee,,
21-Jan-15,0501,SWA1011,B737 (BOEING - 737-,5000,PHL,Green,No,Philadelphia,Pennsylvania,,
21-Jan-15,1051,FDX1402,MD11 (BOEING - MD-1,20000,PHL,Green,No,Philadelphia,Pennsylvania,,
21-Jan-15,2357,UAL1174,B738,7000,MCO,Green,No,Orlando,Florida,,
22-Jan-15,0315,SWA4386,B737,8000,OAK,Green,No,Oakland,California,,
22-Jan-15,0330,SKW6212,E120 (EMBRAER - Bra,10000,APC,Green,No,Napa,California,,
22-Jan-15,0432,ABX802,B762 (BOEING - 767-,10000,PBI,Green,No,West Palm Beach,Florida,,
22-Jan-15,0435,N2356T,R22 (ROBINSON - Bet,1200,PDX,Green,No,Portland,Oregon,,
22-Jan-15,0447,FDX1309,A306 (AIRBUS - A-30,11000,STL,Green,No,St. Louis,Missouri,,
22-Jan-15,0457,UPS1285,A306,11000,DVK,Green,No,Danville,Kentucky,,
