2021 Laser Incidents,,,,,,,,,
Incident Date,Incident Time,FlightID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State
15-Jan-21,0429,PRY05,C208,10000,ZID,Blue,No,Indianapolis,Indiana
15-Jan-21,0442,SKYT769,C172,1500,DAL,Green,No,Dallas ,Texas
15-Jan-21,0523,SWA4583,B737,3000,SAT,Green,No,San Antonio,Texas
15-Jan-21,0601,N9823L,C172,4000,BOI,Blue,No,Boise,Idaho
15-Jan-21,0717,SKW3648,E75L,12000,NCT,Blue,No,Mather,California
15-Jan-21,0719,SKW4269,CRJ2,10000,ZDV,Green,No,Longmont,Colorado
15-Jan-21,0751,N1083S,BE9L,3000,HCF,Green,No,Honolulu,Hawaii
15-Jan-21,0944,AAH12,B733,5700,HCF,Green,No,Honolulu,Hawaii
15-Jan-21,0946,PEG22,CH53,1000,HCF,Green,No,Honolulu,Hawaii
16-Jan-21,0033,ASH6059,E75L,11000,GSP,Green,No,Greer,South Carolina
16-Jan-21,0155,N347BC,C525,11000,P50,Green,No,Phoenix,Arizona
